ID_POL;Fecha_Siniestro;TipoSin;Costes
B84914;09/10/2017;Daños Propios;773,54
B84952;20/07/2017;Daños Propios;182,09
B84983;06/10/2017;Daños Propios;268,74
B84983;06/10/2017;Daños Propios;286,02
B84983;22/08/2017;Daños Propios;389,01
B84983;06/10/2017;Daños Propios;416,23
B84992;25/07/2017;Daños Propios;83,42
B84992;25/11/2017;Daños Propios;2698,21
B85002;01/11/2017;Daños Propios;336,5
B85002;16/10/2017;Daños Propios;679,89
B85025;01/05/2017;Daños Propios;287,69
B85043;01/11/2017;Daños Propios;174,86
B85043;01/11/2017;Daños Propios;333,2
B85043;01/11/2017;Daños Propios;343,51
B85043;01/11/2017;Daños Propios;441,52
B85043;01/11/2017;Daños Propios;449,08
B85055;24/01/2017;Daños Propios;566,07
B85072;30/09/2017;Daños Propios;276,86
B85094;02/10/2017;Daños Propios;165,84
B85128;21/08/2017;Daños Propios;471,59
B85167;28/07/2017;Daños Propios;164,72
B85167;21/07/2017;Daños Propios;262,48
B85167;21/07/2017;Daños Propios;304,85
B85167;25/03/2017;Daños Propios;312,24
B85167;21/07/2017;Daños Propios;403,27
B85167;21/07/2017;Daños Propios;467,59
B85167;28/07/2017;Daños Propios;502,03
B85167;03/01/2017;Daños Propios;694,31
B85173;07/08/2017;Daños Propios;48,4
B85274;09/06/2017;Daños Propios;536,04
B85294;24/06/2017;Daños Propios;298,19
B85314;03/10/2017;Daños Propios;500,08
B85349;25/03/2017;Daños Propios;805,08
B85378;15/07/2017;Daños Propios;278,59
B85415;07/07/2017;Daños Propios;644,71
B85460;05/11/2017;Daños Propios;240,91
B85473;17/07/2017;Daños Propios;381,05
B85477;19/01/2018;Daños Propios;229,02
B85484;08/06/2017;Daños Propios;599,92
B85504;27/10/2017;Daños Propios;1254,38
B85508;30/10/2017;Daños Propios;61,53
B85547;12/05/2017;Daños Propios;282,11
B85655;03/07/2017;Daños Propios;1015,31
B85672;17/03/2017;Daños Propios;71,96
B85705;03/03/2017;Daños Propios;99,64
B85716;26/09/2017;Daños Propios;1690,37
B85735;08/07/2017;Daños Propios;1204,31
B85745;11/04/2017;Daños Propios;249,36
B85777;26/02/2017;Daños Propios;299,73
